,trial_id,sponsor_status,protocol_country,sponsor_country
103,2006-003821-10,Commercial,1.0,Spain
104,2006-003940-50,Non-Commercial,1.0,France
105,2006-003995-36,Non-Commercial,1.0,Italy
106,2006-004296-35,Non-Commercial,1.0,United Kingdom
107,2006-004350-25,Commercial,2.0,Germany
108,2006-004397-27,Commercial,1.0,Germany
109,2006-004610-41,Commercial,5.0,United States
110,2006-004796-35,Non-Commercial,1.0,United Kingdom
111,2006-004942-18,Commercial,8.0,France
112,2006-005034-20,Non-Commercial,1.0,Germany
113,2006-005238-19,Non-Commercial,1.0,Spain
114,2006-005263-26,Commercial,1.0,Spain
115,2006-005380-25,Non-Commercial,1.0,France
116,2006-005565-18,Non-Commercial,1.0,United Kingdom
117,2006-005579-16,Commercial,6.0,United Kingdom
118,2006-005746-36,Commercial,1.0,Sweden
119,2006-005804-15,Commercial,10.0,France
120,2006-005953-31,Commercial,1.0,Germany
121,2006-006146-34,Commercial,1.0,Germany
122,2006-006426-26,Commercial,1.0,Sweden
123,2006-006583-35,Non-Commercial,1.0,United Kingdom
124,2006-006600-11,Commercial,1.0,United States
125,2006-006739-36,Commercial,5.0,United States
126,2006-006749-15,Non-Commercial,1.0,Spain
127,2006-006852-37,Commercial,11.0,Switzerland
128,2006-006946-32,Commercial,1.0,Sweden
129,2007-000180-13,Commercial,6.0,Switzerland
130,2007-000212-89,Non-Commercial,1.0,Spain
131,2007-000214-37,Non-Commercial,1.0,Netherlands
132,2007-000502-70,Non-Commercial,1.0,Germany
133,2007-000515-29,Commercial,1.0,United States
134,2007-000532-47,Commercial,1.0,Germany
135,2007-000710-37,Commercial,3.0,Switzerland
136,2007-000800-34,Commercial,3.0,United Kingdom
137,2007-000974-22,Non-Commercial,1.0,France
138,2007-000998-30,Non-Commercial,1.0,Italy
139,2007-001005-16,Commercial,7.0,Switzerland
140,2007-001097-90,Commercial,2.0,Denmark
141,2007-001377-28,Commercial,5.0,Switzerland
142,2007-001465-14,Commercial,1.0,Australia
143,2007-001645-17,Non-Commercial,1.0,United Kingdom
144,2007-001678-10,Non-Commercial,1.0,Spain
145,2007-001746-40,Commercial,1.0,United States
146,2007-001913-41,Commercial,9.0,United Kingdom
147,2007-002125-68,Commercial,5.0,Belgium
148,2007-002168-84,Commercial,1.0,Germany
149,2007-002171-13,Commercial,2.0,Switzerland
150,2007-002383-95,Commercial,7.0,United States
151,2007-002627-32,Commercial,12.0,Switzerland
152,2007-002920-14,Commercial,4.0,Belgium
153,2007-003080-45,Non-Commercial,1.0,United Kingdom
154,2007-003103-12,Non-Commercial,1.0,Germany
155,2007-003461-41,Non-Commercial,1.0,Germany
156,2007-003481-18,Commercial,1.0,France
