,euctr_results_inc,ctgov_results_inc,isrctn_results_inc,journal_results_inc
204,1,1,0,0
205,0,0,0,1
206,1,1,0,1
207,1,0,0,0
208,1,0,0,0
209,0,0,0,0
210,0,0,0,0
211,1,0,0,1
212,1,0,0,1
213,0,0,0,0
214,0,0,0,0
215,0,1,0,1
216,1,1,0,1
217,1,1,0,0
218,0,0,0,0
219,0,0,0,0
220,1,1,0,0
221,1,0,0,1
222,1,1,0,1
223,1,1,0,1
224,0,0,0,0
225,1,1,0,1
226,0,0,0,1
227,1,0,0,1
228,0,0,0,0
229,1,0,0,1
230,0,0,0,0
231,0,0,0,0
232,0,0,0,1
233,1,1,0,1
234,0,0,0,0
235,1,0,0,0
236,0,0,0,0
237,0,0,0,1
238,0,0,0,1
239,0,0,0,0
240,0,0,0,1
241,1,0,0,1
242,1,0,0,1
243,1,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,1
247,1,1,0,1
248,0,0,0,1
249,1,1,0,1
250,0,1,0,1
251,1,1,0,1
252,0,0,0,1
253,0,0,0,1
254,1,0,0,0
255,0,0,0,0
256,1,1,0,0
257,1,0,0,0
258,1,0,0,1
259,1,1,0,1
260,1,0,0,0
261,1,1,0,0
262,0,0,0,1
263,0,0,0,0
264,1,1,0,1
265,0,0,0,1
266,1,0,0,1
267,0,0,0,1
268,0,0,0,0
269,1,1,0,1
270,1,1,0,1
271,1,0,0,0
272,1,1,0,1
273,1,0,0,1
274,0,0,0,1
275,1,0,0,0
276,1,0,0,1
277,1,1,0,1
278,1,1,0,1
279,0,0,0,0
280,1,1,0,1
281,1,0,0,0
282,0,0,0,1
283,0,0,0,1
284,1,1,0,0
285,1,1,0,1
286,0,0,0,1
287,1,0,0,1
288,0,0,0,1
289,0,0,0,0
290,0,0,0,1
291,1,0,0,1
292,1,1,0,0
293,0,0,0,1
294,0,0,0,1
295,0,0,0,0
296,1,1,0,1
297,1,0,0,1
298,1,1,0,1
299,0,0,0,0
300,0,0,0,0
301,1,0,0,1
302,1,1,0,0
303,1,1,0,1
304,0,0,0,0
305,0,0,0,1
306,1,1,0,1
307,0,0,0,0
308,1,0,0,1
309,0,0,0,1
310,0,0,0,1
311,0,0,0,1
312,0,0,0,0
313,0,0,0,0
314,1,1,0,1
315,1,0,0,1
