,inferred,days_to_search
150,1,3030.0
151,0,939.0
152,1,2402.0
153,1,3613.0
154,1,2075.0
155,1,1906.0
156,0,912.0
157,0,4496.0
158,1,3190.0
159,1,965.0
160,0,996.0
161,1,3851.0
162,0,2109.0
163,0,3115.0
164,0,4123.0
165,0,4984.0
166,1,4912.0
167,0,2921.0
168,0,2821.0
169,1,3433.0
170,1,2080.0
171,1,3247.0
172,0,3998.0
173,0,5376.0
174,0,2963.0
175,1,4408.0
176,0,2500.0
177,0,2689.0
178,1,1415.0
179,0,1726.0
180,1,2387.0
181,0,1663.0
182,0,5483.0
183,1,975.0
184,0,1260.0
185,0,2405.0
186,1,4496.0
187,0,4089.0
188,0,4750.0
189,0,2235.0
190,0,2573.0
191,0,2941.0
192,1,2341.0
193,0,1076.0
194,0,2704.0
195,0,3879.0
196,0,918.0
197,0,1612.0
198,1,1786.0
199,0,3368.0
200,0,2650.0
201,0,3502.0
202,1,1499.0
203,0,1927.0
204,0,2888.0
205,1,3361.0
208,1,910.0
209,0,1940.0
210,1,2878.0
211,0,3524.0
212,0,4097.0
213,0,3805.0
214,0,1120.0
215,0,3104.0
216,0,3830.0
217,0,4789.0
218,1,2092.0
219,1,1636.0
220,0,5027.0
221,0,2186.0
223,1,3062.0
224,1,1600.0
225,0,4203.0
226,0,2675.0
227,0,1443.0
228,1,3369.0
229,1,1393.0
231,0,2902.0
232,0,3075.0
233,0,3511.0
234,0,4139.0
235,0,5308.0
236,0,2711.0
237,0,1390.0
238,0,3864.0
239,1,1074.0
240,0,4018.0
241,1,1219.0
242,0,884.0
243,1,3802.0
244,0,3662.0
245,0,919.0
246,0,3584.0
247,0,3909.0
248,0,2599.0
249,1,4303.0
250,0,4882.0
251,0,3003.0
252,0,1438.0
253,0,3313.0
254,0,5148.0
255,1,1495.0
256,0,1858.0
257,0,1900.0
258,0,4046.0
259,1,3881.0
260,0,854.0
261,0,1898.0
262,0,1879.0
263,1,3001.0
264,0,4895.0
265,0,3087.0
266,0,1205.0
267,1,5225.0
268,0,3601.0
269,0,2458.0
270,0,3598.0
271,0,3193.0
272,1,2397.0
273,0,3676.0
274,0,3253.0
275,0,4953.0
276,0,3091.0
277,0,1535.0
278,0,1908.0
279,0,2236.0
280,0,2347.0
281,0,3824.0
282,0,3221.0
283,0,3858.0
284,0,4410.0
285,0,851.0
286,0,3096.0
287,1,1451.0
288,1,2189.0
289,0,3649.0
290,0,2800.0
291,0,4623.0
292,0,1740.0
293,1,3794.0
294,1,1930.0
295,0,1605.0
296,0,5755.0
297,0,2053.0
298,1,3989.0
299,1,5937.0
300,1,3382.0
301,0,4482.0
302,0,4273.0
303,0,859.0
304,0,3891.0
305,0,2771.0
306,0,4787.0
307,0,903.0
308,0,3552.0
310,1,1707.0
311,1,1794.0
312,0,4436.0
313,0,3081.0
314,0,2066.0
315,1,924.0
316,1,2738.0
317,0,1316.0
318,1,3816.0
319,1,4693.0
320,0,1828.0
321,0,2294.0
322,0,3259.0
323,0,5491.0
324,0,1267.0
325,0,4161.0
327,0,3176.0
328,1,1765.0
329,0,2398.0
330,0,5506.0
331,0,1705.0
332,0,4216.0
333,0,2690.0
334,0,1569.0
335,0,1621.0
336,0,3138.0
337,0,745.0
338,0,1183.0
339,0,4067.0
340,1,1072.0
341,0,2560.0
342,0,1197.0
343,0,4293.0
344,1,3487.0
345,1,3486.0
346,0,2705.0
347,0,1457.0
348,0,3185.0
349,1,3085.0
350,1,3201.0
351,0,4303.0
352,0,3308.0
353,0,4452.0
354,0,4907.0
355,0,4454.0
356,0,4943.0
357,0,5442.0
358,1,2319.0
359,1,2163.0
360,1,2952.0
361,0,1460.0
362,0,1766.0
363,0,3606.0
364,1,3504.0
365,0,3987.0
366,0,3109.0
367,0,4198.0
368,1,3782.0
369,1,2928.0
370,1,3498.0
371,0,1673.0
372,1,3285.0
373,1,1822.0
374,0,4868.0
375,0,2121.0
376,0,2990.0
377,0,3320.0
378,1,1951.0
379,0,2024.0
380,0,4232.0
381,0,1350.0
382,0,4314.0
384,0,4229.0
385,1,3116.0
386,0,1368.0
387,0,4267.0
388,0,900.0
389,0,2559.0
390,0,4742.0
391,1,4591.0
392,1,4016.0
393,0,4604.0
394,0,1255.0
395,0,4155.0
396,1,4464.0
397,0,940.0
398,1,2864.0
399,0,4358.0
400,0,4474.0
401,0,4223.0
402,1,2222.0
403,0,1744.0
404,0,1423.0
405,1,4944.0
406,0,2605.0
407,0,5006.0
408,0,4095.0
409,1,2033.0
410,0,3755.0
411,1,1498.0
412,0,2472.0
413,0,1509.0
414,0,5155.0
415,0,2901.0
416,0,4076.0
417,0,4881.0
418,0,5154.0
419,1,1735.0
420,0,4409.0
421,0,886.0
423,0,2472.0
424,0,1900.0
425,1,3470.0
426,0,2264.0
427,1,2585.0
428,1,1781.0
429,1,2159.0
430,0,4133.0
431,0,855.0
432,0,3210.0
434,0,5055.0
436,0,3693.0
437,0,4391.0
438,0,2475.0
439,1,1314.0
440,1,2571.0
441,0,3054.0
442,0,3572.0
443,0,1617.0
444,0,2294.0
445,0,4860.0
446,0,1928.0
447,0,4056.0
448,0,4895.0
449,0,861.0
450,1,4084.0
451,0,3455.0
452,0,1634.0
453,0,2272.0
455,0,2640.0
456,1,1244.0
458,0,2222.0
459,0,4151.0
460,0,3783.0
461,0,3305.0
463,0,2787.0
465,0,4264.0
466,1,3037.0
467,0,1348.0
468,0,2474.0
469,0,4251.0
470,1,3843.0
471,0,1801.0
473,0,5063.0
474,1,2119.0
475,1,2826.0
476,0,2830.0
477,1,4079.0
478,0,1458.0
479,0,805.0
480,0,5615.0
481,0,2367.0
482,0,2531.0
483,1,3903.0
484,1,1394.0
485,1,1296.0
486,0,4081.0
487,0,4173.0
488,1,1793.0
489,0,865.0
490,0,2678.0
491,1,4840.0
492,0,1807.0
493,0,2580.0
494,0,3045.0
495,0,3791.0
496,0,3441.0
497,0,4921.0
498,0,1234.0
499,1,3165.0
0,0,3080.0
1,1,4059.0
2,0,4858.0
3,0,4070.0
4,0,3852.0
5,1,2919.0
6,0,4215.0
7,0,3416.0
8,0,4894.0
9,0,3005.0
10,0,1260.0
11,1,1354.0
12,0,1768.0
13,0,4729.0
14,1,4108.0
15,1,791.0
16,0,2790.0
18,0,3185.0
19,1,1238.0
20,0,3255.0
21,0,1047.0
