,inferred,days_to_search
0,0,2138.0
1,0,2282.0
2,0,4698.0
3,0,1166.0
4,0,2720.0
5,1,3814.0
6,0,3035.0
7,0,907.0
8,0,3817.0
9,0,3887.0
10,0,877.0
11,0,4151.0
12,0,5562.0
13,0,4265.0
14,0,4855.0
15,0,1458.0
16,1,2996.0
17,1,798.0
18,0,3028.0
20,0,924.0
21,1,4047.0
22,0,1999.0
23,1,1031.0
24,1,3067.0
25,0,2773.0
26,0,2717.0
27,0,5483.0
28,1,1580.0
29,1,3253.0
30,1,2851.0
31,0,4759.0
32,1,3453.0
33,0,2495.0
34,1,3794.0
35,0,1495.0
36,0,2830.0
37,0,2005.0
38,0,2255.0
39,0,1611.0
40,0,1449.0
41,0,967.0
42,1,2293.0
43,1,4759.0
44,1,2800.0
45,0,1401.0
46,1,1539.0
48,0,3011.0
49,0,3433.0
50,0,1582.0
51,1,3745.0
52,1,4810.0
53,1,954.0
54,1,3547.0
55,0,3571.0
57,0,4449.0
58,0,4173.0
59,0,2457.0
60,0,3900.0
61,1,3171.0
62,0,2856.0
63,0,4421.0
64,0,4769.0
65,0,886.0
66,0,4876.0
67,0,4112.0
68,1,1311.0
69,0,3222.0
70,0,3395.0
71,0,4485.0
72,0,4638.0
73,0,1676.0
74,1,2318.0
75,0,4540.0
76,0,828.0
77,1,1702.0
78,1,4575.0
80,0,1654.0
81,1,2068.0
82,0,2651.0
83,0,2889.0
84,0,4700.0
85,1,3507.0
86,0,2684.0
87,1,1576.0
88,1,4072.0
89,1,1484.0
90,0,3280.0
92,0,5428.0
93,1,3515.0
94,0,2895.0
95,1,1900.0
96,0,3572.0
97,1,2066.0
98,0,3902.0
99,0,1439.0
100,0,2325.0
101,0,1575.0
102,0,1390.0
103,0,1906.0
104,0,4384.0
105,1,2867.0
106,1,3760.0
107,0,3817.0
108,0,5347.0
109,0,1395.0
110,0,1320.0
111,0,3566.0
112,1,1448.0
113,0,1759.0
114,0,5171.0
115,1,3126.0
116,1,2627.0
117,0,1708.0
118,1,2298.0
119,0,1996.0
120,0,4628.0
121,0,3080.0
122,0,5565.0
123,0,2902.0
124,0,2639.0
125,0,5035.0
126,1,2173.0
127,0,4515.0
128,0,2733.0
129,0,1683.0
130,1,2786.0
131,1,2061.0
132,0,1083.0
133,0,3840.0
134,0,4049.0
135,1,2288.0
136,1,2614.0
137,0,1674.0
138,1,2808.0
139,0,4851.0
140,0,2013.0
141,0,2491.0
142,0,1509.0
143,0,1338.0
144,0,3849.0
145,0,3980.0
146,0,3466.0
148,0,1213.0
149,0,3712.0
