,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,next_result_date,next_result,time_to_second_pub
17,2011-000721-77,1,2018-02-22,NCT01584453,0,,1,2014-12-15,2014-12-15,2018-02-22,2,Journal,2018-02-22,1,1165.0
18,2014-001786-26,1,2018-01-31,NCT02829177,0,,1,2018-01-07,2018-01-07,2018-01-31,2,Journal,2018-01-31,1,24.0
19,2005-004941-33,1,2016-07-25,NCT00322517,0,,0,,2016-07-25,2016-07-25,1,EUCTR,2020-12-11,0,1600.0
20,2012-004987-23,1,2020-02-19,NCT01709149,1,2020-03-31,1,2016-03-16,2016-03-16,2020-03-31,3,Journal,2020-02-19,1,1435.0
21,2008-005325-10,0,,NCT00766857,0,,1,2017-05-19,2017-05-19,2017-05-19,1,Journal,2020-12-11,0,1302.0
22,2011-006119-70,1,2016-12-28,NCT01622088,0,,0,,2016-12-28,2016-12-28,1,EUCTR,2020-12-11,0,1444.0
23,2005-004724-39,1,2016-09-21,NCT00293046,0,,0,,2016-09-21,2016-09-21,1,EUCTR,2020-12-11,0,1542.0
24,2015-003639-37,1,2019-05-30,NCT02583477,1,2019-08-14,0,,2019-05-30,2019-08-14,2,EUCTR,2019-08-14,1,76.0
25,2007-003885-16,1,2016-10-30,NCT00833768,0,,0,,2016-10-30,2016-10-30,1,EUCTR,2020-12-11,0,1503.0
26,2005-000915-80,1,2019-11-03,NCT00392340,0,,1,2017-03-21,2017-03-21,2019-11-03,2,Journal,2019-11-03,1,957.0
27,2009-016733-10,0,,NCT01168050,0,,1,2017-08-24,2017-08-24,2017-08-24,1,Journal,2020-12-11,0,1205.0
28,2014-002986-30,1,2019-11-08,NCT02256917,1,2019-12-03,0,,2019-11-08,2019-12-03,2,EUCTR,2019-12-03,1,25.0
29,2008-002626-11,1,2017-07-12,NCT01719159,0,,1,2018-10-10,2017-07-12,2018-10-10,2,EUCTR,2018-10-10,1,455.0
30,2007-003803-11,0,,NCT00590837,0,,1,2015-12-03,2015-12-03,2015-12-03,1,Journal,2020-12-11,0,1835.0
31,2012-001956-20,1,2015-07-31,NCT01810939,1,2015-12-15,1,2014-11-21,2014-11-21,2015-12-15,3,Journal,2015-07-31,1,252.0
32,2011-005622-21,1,2019-09-21,NCT01832675,0,,1,2014-10-28,2014-10-28,2019-09-21,2,Journal,2019-09-21,1,1789.0
33,2011-001725-24,1,2018-07-07,NCT01478373,1,2015-08-10,1,2017-08-29,2015-08-10,2018-07-07,3,CTgov,2017-08-29,1,750.0
34,2014-003135-19,1,2018-07-19,NCT02291861,1,2018-04-11,1,2017-06-28,2017-06-28,2018-07-19,3,Journal,2018-04-11,1,287.0
35,2013-001557-27,1,2016-09-30,NCT01821118,1,2016-11-03,1,2019-03-18,2016-09-30,2019-03-18,3,EUCTR,2016-11-03,1,34.0
36,2014-000042-30,1,2017-12-30,NCT02300558,1,2018-01-12,0,,2017-12-30,2018-01-12,2,EUCTR,2018-01-12,1,13.0
37,2013-002154-67,0,,NCT02056665,0,,1,2018-08-20,2018-08-20,2018-08-20,1,Journal,2020-12-11,0,844.0
38,2014-002841-23,1,2016-08-18,NCT02309320,0,,0,,2016-08-18,2016-08-18,1,EUCTR,2020-12-11,0,1576.0
39,2010-018448-15,0,,NCT01106547,0,,1,2014-07-07,2014-07-07,2014-07-07,1,Journal,2020-12-11,0,2349.0
40,2011-003832-30,1,2017-08-05,NCT01492101,0,,1,2015-10-22,2015-10-22,2017-08-05,2,Journal,2017-08-05,1,653.0
41,2010-023198-21,1,2017-05-10,NCT01616784,0,,1,2017-03-30,2017-03-30,2017-05-10,2,Journal,2017-05-10,1,41.0
42,2011-002472-16,0,,NCT01549015,0,,1,2015-11-14,2015-11-14,2015-11-14,1,Journal,2020-12-11,0,1854.0
43,2011-004355-40,1,2016-08-11,NCT01681940,0,,0,,2016-08-11,2016-08-11,1,EUCTR,2020-12-11,0,1583.0
44,2015-003537-99,1,2018-11-04,NCT01712334,1,2014-05-01,1,2015-04-25,2014-05-01,2018-11-04,3,CTgov,2015-04-25,1,359.0
