,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
10,2010-022772-31,1,2019-10-20,NCT01394757,0,,1,2015-04-27,2015-04-27,2019-10-20,2,Journal,20253,2010-022772-31,2012-08-27,0,2610.0,3028.0,973.0
11,2015-001956-31,1,2019-11-09,,0,,1,2018-10-01,2018-10-01,2019-11-09,2,Journal,3674,2015-001956-31,2018-06-01,0,526.0,924.0,122.0
12,2007-002627-32,1,2018-07-19,NCT00731692,1,2017-06-14,1,2016-01-27,2016-01-27,2018-07-19,3,Journal,12381,2007-002627-32,2015-06-22,0,1123.0,723.0,219.0
13,2012-004993-25,1,2016-08-19,,0,,0,,2016-08-19,2016-08-19,1,EUCTR,11282,2012-004993-25,2013-07-04,0,1142.0,2717.0,2717.0
14,2005-005719-83,0,,NCT00678275,0,,1,2016-01-07,2016-01-07,2016-01-07,1,Journal,16638,2005-005719-83,2014-02-11,0,2495.0,2495.0,695.0
15,2014-001295-65,1,2018-02-03,NCT02327221,0,,0,,2018-02-03,2018-02-03,1,EUCTR,4446,2014-001295-65,2016-11-07,0,453.0,1495.0,1495.0
16,2009-016987-34,1,2015-02-15,NCT01039688,1,2018-04-06,1,2014-06-19,2014-06-19,2018-04-06,3,Journal,8082,2009-016987-34,2013-03-13,0,704.0,1850.0,463.0
17,2011-002329-23,1,2016-06-19,NCT01574326,1,2016-07-25,1,2017-09-12,2016-06-19,2017-09-12,3,EUCTR,18585,2011-002329-23,2015-06-16,0,369.0,405.0,819.0
18,2013-005161-40,1,2017-08-25,NCT02146430,1,2020-11-09,1,2019-07-09,2017-08-25,2020-11-09,3,EUCTR,3044,2013-005161-40,2016-07-14,0,407.0,1579.0,1090.0
19,2010-023613-61,1,2020-01-01,NCT01358071,0,,0,,2020-01-01,2020-01-01,1,EUCTR,26505,2010-023613-61,2016-12-23,0,1104.0,1449.0,1449.0
20,2010-018379-70,0,,NCT01237249,0,,1,2015-10-23,2015-10-23,2015-10-23,1,Journal,13501,2010-018379-70,2014-09-01,1,2293.0,2293.0,417.0
21,2011-000721-77,1,2018-02-22,NCT01584453,0,,1,2014-12-15,2014-12-15,2018-02-22,2,Journal,24851,2011-000721-77,2017-02-09,0,378.0,1401.0,-787.0
22,2011-005683-21,0,,,0,,1,2016-07-01,2016-07-01,2016-07-01,1,Journal,19884,2011-005683-21,2016-09-24,1,1539.0,1539.0,-85.0
23,2014-001786-26,1,2018-01-31,NCT02829177,0,,1,2018-01-07,2018-01-07,2018-01-31,2,Journal,20268,2014-001786-26,2016-08-12,0,537.0,1582.0,513.0
24,2007-005232-81,0,,,0,,1,2014-04-02,2014-04-02,2014-04-02,1,Journal,14583,2007-005232-81,2010-09-10,1,3745.0,3745.0,1300.0
25,2005-004941-33,1,2016-07-25,NCT00322517,0,,0,,2016-07-25,2016-07-25,1,EUCTR,26142,2005-004941-33,2009-07-09,0,2573.0,4173.0,4173.0
26,2012-004987-23,1,2020-02-19,NCT01709149,1,2020-03-31,1,2016-03-16,2016-03-16,2020-03-31,3,Journal,1122,2012-004987-23,2014-03-21,0,2161.0,2202.0,726.0
27,2007-005242-21,1,2019-05-19,,0,,0,,2019-05-19,2019-05-19,1,EUCTR,20437,2007-005242-21,2010-04-08,0,3328.0,3900.0,3900.0
28,2008-005325-10,0,,NCT00766857,0,,1,2017-05-19,2017-05-19,2017-05-19,1,Journal,25774,2008-005325-10,2012-04-06,1,3171.0,3171.0,1869.0
29,2011-006119-70,1,2016-12-28,NCT01622088,0,,0,,2016-12-28,2016-12-28,1,EUCTR,1203,2011-006119-70,2013-02-15,0,1412.0,2856.0,2856.0
30,2006-005034-20,1,2020-02-02,,0,,0,,2020-02-02,2020-02-02,1,EUCTR,23230,2006-005034-20,2008-11-03,0,4108.0,4421.0,4421.0
31,2005-004724-39,1,2016-09-21,NCT00293046,0,,0,,2016-09-21,2016-09-21,1,EUCTR,4978,2005-004724-39,2007-11-21,0,3227.0,4769.0,4769.0
32,2015-003639-37,1,2019-05-30,NCT02583477,1,2019-08-14,0,,2019-05-30,2019-08-14,2,EUCTR,20411,2015-003639-37,2018-07-09,0,325.0,401.0,886.0
33,2007-003885-16,1,2016-10-30,NCT00833768,0,,0,,2016-10-30,2016-10-30,1,EUCTR,11619,2007-003885-16,2009-09-08,0,2609.0,4112.0,4112.0
34,2005-000915-80,1,2019-11-03,NCT00392340,0,,1,2017-03-21,2017-03-21,2019-11-03,2,Journal,13808,2005-000915-80,2011-08-26,0,2991.0,3395.0,2034.0
35,2009-016733-10,0,,NCT01168050,0,,1,2017-08-24,2017-08-24,2017-08-24,1,Journal,24885,2009-016733-10,2014-08-07,1,2318.0,2318.0,1113.0
36,2014-002986-30,1,2019-11-08,NCT02256917,1,2019-12-03,0,,2019-11-08,2019-12-03,2,EUCTR,11797,2014-002986-30,2018-09-05,0,429.0,454.0,828.0
37,2008-002626-11,1,2017-07-12,NCT01719159,0,,1,2018-10-10,2017-07-12,2018-10-10,2,EUCTR,23069,2008-002626-11,2016-06-01,0,406.0,1654.0,861.0
38,2007-003803-11,0,,NCT00590837,0,,1,2015-12-03,2015-12-03,2015-12-03,1,Journal,8156,2007-003803-11,2015-04-14,1,2068.0,2068.0,233.0
39,2012-001956-20,1,2015-07-31,NCT01810939,1,2015-12-15,1,2014-11-21,2014-11-21,2015-12-15,3,Journal,24,2012-001956-20,2013-08-06,0,724.0,861.0,472.0
40,2006-006146-34,0,,,0,,1,2017-01-16,2017-01-16,2017-01-16,1,Journal,22685,2006-006146-34,2011-04-28,1,3515.0,3515.0,2090.0
