,eudract_number,final_date,inferred
5552,2014-003401-15,2015-02-03,0
7336,2011-001616-57,2014-09-12,0
12314,2004-002743-27,2008-01-31,0
6567,2013-003561-34,2017-10-02,0
13573,2006-001414-33,2013-07-01,0
12325,2005-005658-37,2010-07-03,1
475,2010-022980-37,2012-08-20,0
3450,2016-002513-22,2018-06-18,0
4522,2009-011276-29,2010-06-30,0
17170,2007-004612-31,2010-04-21,0
19096,2014-004655-31,2018-07-18,0
16997,2007-005979-34,2009-07-31,0
13576,2004-004891-36,2005-09-19,0
13049,2008-001889-81,2009-04-08,0
20923,2014-001706-17,2007-08-27,0
8654,2010-022184-35,2016-12-14,0
5188,2006-003995-36,2012-09-28,1
23350,2015-003397-33,2018-10-05,1
20253,2010-022772-31,2012-08-27,0
2161,2012-002573-62,2016-04-08,1
3674,2015-001956-31,2018-06-01,0
4477,2005-004685-17,2009-11-12,1
12381,2007-002627-32,2015-06-22,0
16108,2010-023481-41,2018-02-14,1
17358,2009-012543-42,2012-07-19,1
16537,2009-017842-30,2013-05-09,0
11282,2012-004993-25,2013-07-04,0
13474,2004-000091-14,2005-12-07,0
13511,2012-002105-22,2016-08-14,1
10716,2008-007712-14,2012-01-15,1
21957,2005-003482-17,2013-02-20,1
23903,2005-004736-51,2007-12-01,0
22638,2007-003702-95,2011-06-29,1
16638,2005-005719-83,2014-02-11,0
26224,2006-002022-29,2010-07-23,1
4446,2014-001295-65,2016-11-07,0
8082,2009-016987-34,2013-03-13,0
18585,2011-002329-23,2015-06-16,0
25880,2011-005061-20,2014-10-09,0
3044,2013-005161-40,2016-07-14,0
26505,2010-023613-61,2016-12-23,0
13135,2009-017918-69,2018-04-19,0
13501,2010-018379-70,2014-09-01,1
21744,2004-001119-69,2007-12-01,1
23701,2009-018245-21,2013-04-12,1
24851,2011-000721-77,2017-02-09,0
19884,2011-005683-21,2016-09-24,1
21960,2005-001202-60,2008-11-20,1
3247,2012-001709-26,2012-09-13,0
9393,2010-018532-40,2011-07-19,0
20268,2014-001786-26,2016-08-12,0
14583,2007-005232-81,2010-09-10,1
25583,2005-002208-40,2007-10-11,1
4853,2011-003325-10,2018-05-02,1
16275,2008-001892-31,2011-03-27,1
1011,2008-008604-40,2011-03-03,0
10601,2006-001951-36,2008-04-30,0
10604,2007-000800-34,2008-10-06,0
26142,2005-004941-33,2009-07-09,0
1122,2012-004987-23,2014-03-21,0
20437,2007-005242-21,2010-04-08,0
25774,2008-005325-10,2012-04-06,1
1203,2011-006119-70,2013-02-15,0
23230,2006-005034-20,2008-11-03,0
4978,2005-004724-39,2007-11-21,0
20411,2015-003639-37,2018-07-09,0
27193,2004-004748-27,2007-08-06,0
11619,2007-003885-16,2009-09-08,0
2516,2013-004593-95,2017-05-10,1
13159,2008-005025-11,2012-02-15,0
13808,2005-000915-80,2011-08-26,0
2647,2006-000666-37,2008-08-31,0
5974,2004-004296-11,2008-03-31,0
19009,2009-017261-32,2016-05-10,0
24885,2009-016733-10,2014-08-07,1
27131,2006-006600-11,2008-07-07,0
11797,2014-002986-30,2018-09-05,0
26236,2010-021593-11,2016-04-14,1
7429,2006-003821-10,2008-06-02,1
2313,2016-003124-23,2017-10-19,0
23069,2008-002626-11,2016-06-01,0
8156,2007-003803-11,2015-04-14,1
6928,2013-000621-30,2013-09-08,0
21042,2008-005086-55,2013-01-13,0
23933,2004-005094-29,2008-01-29,0
11403,2009-011556-22,2011-05-06,1
24,2012-001956-20,2013-08-06,0
24931,2012-002418-38,2016-08-18,1
19003,2007-000998-30,2009-10-18,1
465,2013-000850-23,2016-11-18,1
19996,2010-019268-35,2011-12-19,0
8093,2007-001645-17,2009-04-24,0
14795,2005-000710-12,2006-01-31,0
22685,2006-006146-34,2011-04-28,1
7197,2011-005622-21,2013-01-07,0
3506,2013-005594-51,2015-09-29,1
9668,2009-011279-56,2011-03-02,0
12002,2010-019195-67,2015-04-16,1
8784,2007-002171-13,2010-04-06,0
25539,2016-000867-18,2017-01-02,0
3834,2011-001725-24,2014-07-31,0
3172,2014-003135-19,2016-08-19,0
10625,2013-002997-33,2017-02-20,0
3278,2013-001557-27,2015-09-23,0
5832,2005-001578-28,2008-12-10,0
9293,2009-016360-37,2013-02-04,1
23858,2007-000212-89,2010-08-26,1
5358,2006-004610-41,2010-06-30,0
16570,2004-002241-12,2006-04-22,0
16973,2014-000042-30,2017-02-15,0
24535,2011-004559-38,2017-05-01,0
1098,2007-005702-49,2011-03-08,0
2651,2013-002154-67,2016-12-24,1
3364,2014-002841-23,2016-02-17,0
10049,2004-001376-39,2006-10-15,0
24832,2010-018448-15,2012-05-21,1
25639,2010-021150-19,2013-10-02,1
4137,2011-003832-30,2016-04-08,0
26001,2011-005666-37,2014-08-27,1
19530,2010-023198-21,2015-06-25,0
21334,2005-003783-27,2008-04-10,0
17625,2011-002472-16,2012-07-06,0
1566,2004-000414-39,2005-09-16,0
668,2006-005565-18,2012-12-31,0
2036,2011-004355-40,2013-09-20,0
7252,2004-000368-28,2007-02-28,0
18912,2011-006179-20,2014-12-30,1
212,2006-005579-16,2008-08-01,0
21295,2015-003537-99,2013-06-18,0
11412,2012-003516-31,2016-05-03,0
1884,2011-005366-38,2013-04-26,1
10906,2013-002165-19,2015-04-21,1
11480,2015-004768-12,2017-12-24,0
19555,2005-000346-36,2010-06-07,0
16884,2008-003592-48,2009-11-10,0
24699,2008-006794-32,2014-09-06,1
20448,2012-000363-24,2013-10-15,1
