,eudract_number,final_date,inferred
941,2013-003363-64,2016-05-12,0
3289,2011-000125-76,2013-04-04,1
23068,2006-005263-26,2007-08-31,0
2370,2013-003000-39,2015-06-08,0
4057,2010-024108-84,2014-02-15,0
18165,2008-003829-16,2016-10-24,0
17362,2014-004454-34,2017-04-13,0
25790,2007-007072-42,2010-05-29,0
17413,2006-000585-36,2010-01-18,0
18175,2008-006135-12,2011-06-16,0
24544,2014-002003-25,2011-02-06,0
7736,2014-001644-38,2017-08-16,0
15412,2009-010112-15,2010-10-13,0
2451,2009-012658-19,2012-08-25,1
9026,2015-002396-18,2018-05-17,0
20572,2012-001515-22,2014-05-15,1
1536,2008-005549-46,2011-01-20,1
19881,2013-000583-29,2015-04-07,1
13928,2011-003560-74,2015-09-23,1
3745,2015-002191-25,2018-06-13,0
416,2007-001005-16,2008-08-20,0
13615,2010-020521-40,2012-03-18,1
16481,2011-001756-12,2018-04-21,1
20380,2013-001868-40,2018-03-21,0
19101,2006-005380-25,2010-05-27,1
9576,2009-009858-24,2015-03-04,0
8837,2010-019094-15,2012-06-01,0
6209,2007-004805-80,2009-08-28,0
3916,2006-003191-35,2007-04-20,0
11834,2005-005443-26,2007-07-01,1
15304,2008-004429-41,2012-12-12,0
18868,2011-003317-41,2013-03-22,0
25272,2007-000974-22,2011-07-19,1
1516,2012-000869-21,2015-04-02,1
14064,2007-004483-41,2012-01-21,1
10170,2005-005827-32,2009-12-31,0
23205,2004-001614-13,2006-03-24,0
18310,2009-016760-36,2012-10-31,0
16600,2006-000713-37,2008-11-16,1
21723,2012-002278-30,2014-02-06,0
10343,2010-018945-72,2013-08-01,0
2679,2011-006331-35,2017-01-26,1
21276,2015-002706-36,2016-03-21,0
3445,2012-004938-42,2014-05-30,1
1633,2012-000109-66,2016-05-23,0
6913,2005-000841-12,2005-12-07,0
15334,2013-003873-85,2018-04-11,1
12355,2014-004972-49,2017-06-30,0
14285,2012-002806-31,2014-05-12,0
25660,2005-005544-79,2008-08-20,1
7879,2007-002383-95,2009-10-01,0
17291,2005-001472-12,2007-12-10,0
12051,2012-003110-14,2014-10-29,0
15995,2011-006121-26,2013-11-25,0
23102,2010-021560-15,2012-11-22,0
21853,2011-003509-65,2014-07-15,1
13472,2004-002547-27,2017-12-31,0
19577,2011-000947-26,2013-07-17,0
3320,2008-003839-20,2010-04-29,0
18945,2016-002531-15,2018-06-07,0
11505,2014-001096-31,2016-07-13,0
11243,2012-005332-29,2016-01-21,1
12948,2007-004671-19,2011-09-22,0
6106,2010-022812-37,2013-09-09,0
22042,2009-015681-55,2011-05-11,0
14372,2009-012596-94,2016-11-03,1
5812,2013-005464-25,2015-09-02,0
6922,2011-000056-42,2013-01-14,0
10118,2008-003832-40,2011-09-29,1
25220,2006-004796-35,2009-07-16,0
16632,2007-006692-37,2010-05-01,0
14256,2013-004042-42,2018-06-15,1
11495,2011-003574-84,2015-08-20,0
26234,2006-003940-50,2013-01-24,1
19366,2008-003327-23,2011-04-19,0
18267,2008-002134-29,2009-09-23,0
2207,2007-006648-23,2010-07-12,0
22335,2012-001249-41,2017-11-17,0
6048,2006-006739-36,2012-06-12,0
3971,2007-004226-25,2010-06-17,0
1340,2006-002590-44,2007-11-01,0
2958,2010-023602-12,2015-03-21,1
20781,2011-000811-23,2016-06-19,1
6988,2005-000705-59,2007-03-08,0
14204,2013-001103-36,2014-12-17,0
14272,2004-004348-39,2008-07-04,0
1449,2010-023533-34,2012-07-24,1
21762,2011-006162-40,2016-07-25,1
1347,2008-000743-34,2009-06-09,0
23308,2010-020126-17,2013-08-15,0
21373,2015-000159-26,2016-12-29,0
3165,2006-002275-40,2011-09-21,1
7098,2010-024446-30,2017-02-17,1
21855,2004-001637-41,2005-06-20,0
20469,2012-003137-41,2012-12-31,0
1609,2011-001483-21,2012-07-11,0
7820,2007-002125-68,2011-05-02,0
6417,2006-002791-18,2009-08-12,0
12748,2005-005469-12,2006-05-31,0
3801,2009-013165-25,2013-07-10,0
2548,2013-000639-29,2017-02-20,0
12513,2008-000121-19,2010-05-14,0
21463,2013-000024-34,2018-01-02,1
22231,2008-005319-16,2009-12-11,0
937,2013-001229-15,2017-08-10,1
8553,2017-005115-13,2018-07-11,0
16819,2006-002152-16,2010-07-15,1
158,2007-006168-31,2010-12-02,0
2095,2010-021091-28,2018-06-06,0
4981,2007-004675-19,2011-02-18,0
22720,2007-001746-40,2010-03-30,0
22012,2012-005232-29,2013-10-30,0
17578,2004-000442-21,2009-03-01,1
5006,2006-003340-33,2007-07-31,0
4347,2007-003986-42,2012-09-21,0
538,2013-000176-15,2017-01-03,0
9117,2007-007094-23,2011-11-16,0
17282,2005-000508-15,2006-11-07,0
10230,2014-003790-41,2016-11-07,1
14202,2014-003846-29,2015-11-10,0
20758,2012-005796-14,2015-09-29,0
16650,2017-001607-80,2009-11-13,0
4923,2007-007958-54,2010-04-27,1
22966,2015-000458-40,2018-08-10,0
24454,2011-004886-34,2015-10-01,0
11588,2010-024557-36,2015-10-20,0
17627,2010-022693-14,2012-09-23,1
24075,2004-004340-42,2007-07-18,0
4746,2007-000502-70,2012-06-29,0
437,2015-003625-34,2017-08-24,0
26547,2004-001098-25,2006-08-22,1
18618,2010-021438-68,2011-02-01,0
14065,2011-004237-14,2014-03-20,0
10668,2006-000845-21,2011-02-04,0
25655,2009-018172-33,2012-03-15,0
23071,2008-008211-26,2014-05-20,1
6816,2008-007649-30,2010-11-18,0
5092,2007-003912-72,2012-01-15,0
20144,2006-000419-90,2007-05-21,0
27016,2008-004849-28,2012-06-25,0
4305,2013-003587-31,2016-09-28,0
13079,2014-000340-15,2015-09-21,0
8779,2007-005365-35,2014-10-28,0
14888,2008-004499-38,2014-07-09,0
23013,2008-001835-36,2010-06-23,0
24472,2008-006866-27,2012-02-16,0
13354,2006-004350-25,2010-05-20,0
2093,2007-006776-11,2008-11-14,0
22492,2014-003896-41,2018-08-13,0
13077,2010-020973-18,2012-06-20,0
26975,2012-005048-46,2016-12-21,1
22339,2010-021384-33,2014-12-14,1
3090,2009-013222-16,2010-12-15,0
4396,2009-011564-11,2013-04-12,0
16189,2005-003077-25,2008-04-15,0
15548,2012-005627-32,2016-03-07,0
24646,2006-005238-19,2010-07-23,1
22241,2009-014455-68,2015-08-30,1
1853,2004-004707-38,2016-07-20,0
97,2004-000996-33,2005-03-10,0
21922,2013-002850-54,2015-04-29,0
25585,2005-004124-39,2010-01-09,1
18203,2006-002737-21,2004-09-09,1
22563,2008-000787-16,2011-09-08,1
13878,2007-003655-36,2008-09-03,0
14313,2007-004139-49,2009-03-31,0
10073,2014-005477-37,2018-08-05,0
2181,2005-005216-24,2010-04-17,0
26823,2009-009056-20,2013-05-11,0
22817,2004-000753-30,2007-11-03,0
18921,2015-003696-30,2018-06-22,0
42,2010-021217-23,2011-03-22,0
16099,2011-002908-33,2012-10-19,0
24133,2010-024119-15,2016-04-09,1
24233,2014-000177-39,2016-01-13,1
10047,2008-000725-18,2008-10-19,0
23063,2007-003461-41,2012-07-05,0
26856,2013-003227-11,2015-04-16,0
17575,2011-005461-21,2018-06-01,1
11104,2010-019913-12,2013-06-13,1
8747,2007-006033-14,2017-05-05,0
23635,2005-001191-12,2010-07-01,1
5947,2005-004128-38,2008-02-05,1
8314,2007-000180-13,2015-12-10,0
2714,2006-002787-26,2014-08-31,0
16987,2010-020168-39,2012-01-09,0
7120,2005-001384-60,2005-11-29,0
24560,2009-017752-28,2017-06-23,0
7717,2005-002233-12,2009-07-21,0
21657,2016-000049-30,2018-10-24,0
3184,2009-017831-16,2012-04-01,0
25626,2008-004387-39,2016-02-11,1
21574,2009-018097-64,2014-05-19,0
7216,2004-003755-39,2005-11-14,0
9788,2013-004654-13,2016-04-11,0
26157,2008-000718-63,2009-05-27,0
17408,2007-003481-18,2013-07-31,0
11767,2014-001759-22,2016-08-25,0
12583,2014-003558-15,2016-07-04,0
15775,2004-005135-26,2012-05-09,0
26630,2016-002210-46,2018-11-27,0
23416,2014-005556-25,2017-09-15,0
1321,2007-003767-51,2009-10-23,0
23322,2013-005062-19,2018-01-04,1
472,2008-007167-16,2013-12-08,0
11760,2016-001638-84,2017-09-01,0
25536,2006-004942-18,2009-03-11,0
15799,2008-005451-23,2011-05-26,1
18172,2009-011582-88,2011-05-27,1
1726,2009-013552-72,2013-07-16,0
21869,2014-004751-31,2016-12-15,0
25195,2011-003654-40,2012-03-23,0
16647,2009-012102-39,2012-07-01,1
24769,2006-006749-15,2012-03-07,1
17405,2006-006946-32,2009-03-01,0
9381,2009-016383-36,2011-11-21,0
5845,2006-005804-15,2008-10-03,0
13417,2005-002950-23,2007-07-06,0
8557,2006-005746-36,2008-10-01,0
5594,2004-000186-35,2007-05-31,0
23480,2006-006426-26,2006-01-17,0
15169,2011-000401-50,2014-08-06,1
21232,2009-017449-72,2015-01-09,1
2844,2011-000197-53,2012-11-11,1
8256,2011-002268-26,2016-12-12,0
20007,2012-001570-29,2016-02-10,0
8734,2005-000561-18,2011-01-27,0
5671,2007-005757-28,2011-05-09,1
11447,2007-000515-29,2010-01-11,0
25054,2011-000774-58,2012-06-07,0
13225,2008-007238-23,2009-06-14,0
25846,2007-000214-37,2010-08-04,1
9805,2009-014670-17,2012-12-05,1
1226,2009-010549-30,2011-05-15,1
19362,2013-001421-55,2016-05-13,0
16761,2007-007787-25,2011-12-14,1
4165,2013-004562-33,2015-12-16,1
10675,2005-005981-35,2007-08-14,0
26407,2012-004368-23,2015-02-20,0
27204,2005-001502-11,2012-10-04,0
5137,2005-003740-62,2011-11-09,0
22428,2013-002183-63,2015-08-09,1
7755,2013-003660-31,2015-05-28,0
3036,2007-007940-92,2009-05-11,0
19152,2014-001158-41,2017-04-01,0
5879,2006-000945-20,2009-02-18,0
841,2015-005226-19,2016-09-19,0
15882,2005-000786-19,2009-05-14,0
15667,2010-019591-67,2012-05-31,1
3877,2013-000536-10,2017-03-14,0
1090,2005-001004-39,2009-04-06,0
3650,2017-001373-16,2018-06-25,0
19892,2013-000056-18,2013-12-09,0
23831,2006-006583-35,2007-12-18,0
26504,2005-003071-20,2008-05-17,1
26227,2008-002131-32,2009-12-13,1
5550,2006-003485-33,2008-05-04,0
18357,2007-003103-12,2017-07-05,0
6675,2008-003575-47,2009-07-27,0
4335,2005-001245-41,2008-09-21,1
7190,2011-005616-29,2018-05-16,0
19746,2008-001842-19,2013-02-07,1
5685,2007-000710-37,2009-01-05,0
9163,2006-000654-43,2008-09-11,0
19597,2016-004944-12,2009-05-20,0
26677,2009-010186-23,2014-11-11,1
21424,2013-002451-15,2016-03-03,0
1356,2009-014441-93,2017-01-18,0
23994,2005-005453-21,2007-05-30,1
15426,2014-004335-39,2013-10-24,0
17882,2006-002060-26,2007-03-29,0
6680,2006-003087-59,2009-09-25,0
25718,2008-002380-14,2015-05-19,1
14319,2008-008359-40,2010-08-31,0
22014,2012-002255-42,2016-11-04,1
3075,2010-018283-16,2014-03-06,0
1910,2012-002669-37,2016-10-24,0
5332,2005-005532-27,2006-10-31,0
2952,2011-002453-65,2013-01-01,0
23656,2008-007987-40,2009-10-14,0
21947,2005-003555-13,2007-08-01,0
12301,2004-003797-28,2006-11-01,0
20261,2013-003328-35,2016-03-12,1
8785,2005-000662-39,2008-11-15,0
17461,2015-002898-37,2018-07-09,0
20955,2013-001766-42,2017-07-07,1
5568,2008-008749-39,2014-03-06,0
12785,2012-001125-27,2015-09-29,0
6000,2006-000978-68,2011-06-12,1
2223,2012-004300-35,2014-09-30,0
15272,2009-011165-85,2013-11-13,1
9240,2012-001809-24,2016-01-26,1
8430,2008-006014-20,2015-01-13,1
84,2007-001097-90,2009-08-18,0
11311,2015-004026-34,2018-08-09,0
16008,2011-000133-37,2012-02-27,0
2425,2016-000205-36,2018-07-10,1
26687,2006-002696-40,2007-02-08,0
11701,2006-006852-37,2010-12-16,0
17946,2008-005903-25,2010-11-01,0
4431,2005-003401-87,2008-12-03,0
18154,2012-004442-15,2014-03-03,0
8157,2009-009921-28,2017-05-07,1
17013,2009-011039-11,2013-11-27,1
10469,2010-019109-40,2012-08-01,0
13683,2010-018686-36,2011-03-02,0
13986,2010-021850-20,2016-07-08,0
6759,2008-001968-36,2014-08-31,0
9740,2005-005597-67,2007-08-22,0
18749,2010-023023-19,2015-09-01,0
24341,2006-004296-35,2009-11-03,0
11861,2014-004162-17,2007-07-18,0
7170,2011-001965-42,2018-08-03,0
9000,2006-002940-28,2009-10-06,1
5948,2009-017479-29,2011-06-27,0
10161,2012-000347-28,2016-06-21,0
25395,2011-002865-39,2014-09-22,0
20802,2013-001141-14,2015-04-29,0
2993,2010-022455-31,2013-09-19,0
15466,2014-004194-16,2017-07-16,1
16756,2014-001081-99,2016-03-02,0
3757,2011-006294-26,2014-11-11,0
6281,2007-001377-28,2009-07-31,0
924,2006-002529-21,2010-08-03,0
9305,2008-000245-55,2011-11-24,0
18306,2008-005925-12,2018-01-12,1
10713,2011-006174-47,2013-04-25,0
8019,2015-003260-37,2018-10-24,1
22044,2015-005190-21,2009-04-09,0
17947,2009-013469-25,2012-08-18,1
1144,2012-003487-48,2017-04-03,0
14643,2011-004584-67,2014-03-04,0
7447,2006-004397-27,2009-04-22,0
24678,2006-001707-11,2010-06-04,1
13148,2010-024046-29,2016-01-06,0
8922,2008-001329-33,2010-10-18,0
8744,2004-000367-98,2007-01-31,0
26310,2012-001142-18,2015-02-22,1
10825,2011-000291-34,2013-03-17,1
3912,2011-000536-28,2013-03-13,0
4648,2006-003473-27,2009-10-11,1
26036,2010-024665-52,2016-12-14,0
15915,2012-001711-23,2018-09-28,0
22828,2004-002078-45,2005-07-28,0
3661,2013-004544-32,2014-06-19,0
26657,2012-000057-31,2014-01-06,0
26985,2007-002168-84,2010-04-05,1
21019,2012-005842-39,2017-02-16,1
9587,2011-005017-37,2017-05-25,1
5928,2007-001913-41,2009-10-09,0
26591,2008-004432-20,2009-07-09,0
9436,2010-022699-30,2016-01-14,1
24502,2013-000823-15,2018-07-30,0
8776,2008-003016-35,2013-08-12,0
20137,2005-005914-18,2007-09-11,1
21489,2011-004498-96,2015-12-31,0
12529,2010-022058-18,2013-11-18,0
560,2010-018776-24,2012-08-10,0
11038,2005-001012-41,2010-07-26,0
9360,2009-017438-32,2011-07-11,0
21284,2007-001465-14,2007-06-22,0
21629,2013-005628-41,2017-07-26,0
18554,2009-010730-21,2012-04-12,1
