trial_id,second_coder,euctr_res_nd,euctr_res_2nd,nct_nd,nct_2nd,nct_match,isrctn_nd,isrctn_2nd,pub_nd,pub_2nd,pub_match,pub_date_match,pub_reg_nd,pub_reg_2nd,pub_reg_match
2004-000367-98,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2004-002078-45,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2004-003797-28,JS,1,1,0,0,2,1,1,1,1,1,1,1,1,1
2005-000662-39,JS,0,0,0,0,2,1,1,1,1,1,0,0,0,1
2005-001012-41,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2005-003401-87,JS,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2005-003555-13,JS,0,0,1,1,1,0,0,1,1,1,1,0,0,1
2005-005453-21,JS,0,0,0,0,2,0,0,1,1,1,1,0,0,1
2005-005532-27,JS,1,1,0,0,2,0,0,1,1,0,0,0,0,1
2005-005597-67,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2005-005914-18,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2006-000654-43,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2006-000978-68,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2006-001707-11,JS,0,0,1,1,1,0,0,1,1,1,0,1,1,1
2006-002060-26,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2006-002529-21,JS,1,1,1,1,1,0,0,1,1,0,0,1,0,0
2006-002696-40,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2006-002940-28,JS,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2006-003087-59,JS,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2006-003473-27,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2006-004296-35,JS,1,1,0,0,2,0,0,1,1,1,0,1,1,1
2006-004397-27,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2006-006852-37,JS,,,,,,,,,,,,,,
2007-001097-90,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2007-001377-28,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2007-001465-14,JS,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2007-001913-41,JS,1,1,1,1,1,0,0,1,1,0,0,0,1,0
2007-002168-84,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2008-000245-55,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2008-001329-33,JS,,,,,,,,,,,,,,
2008-001968-36,JS,0,0,0,0,2,1,1,1,1,1,1,1,1,0
2008-002380-14,JS,0,0,1,1,1,0,0,1,1,1,0,1,1,1
2008-003016-35,JS,1,1,1,1,1,0,0,1,1,0,0,1,1,1
2008-004432-20,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2008-005903-25,JS,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2008-005925-12,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
