trial_id,second_coder,euctr_res_nd,euctr_res_2nd,nct_nd,nct_2nd,nct_match,isrctn_nd,isrctn_2nd,pub_nd,pub_2nd,pub_match,pub_date_match,pub_reg_nd,pub_reg_2nd,pub_reg_match
2008-006014-20,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2008-007987-40,JS,0,0,0,0,2,0,0,1,1,1,0,0,0,1
2008-008359-40,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2008-008749-39,JS,0,0,0,0,2,0,0,1,1,1,1,1,1,1
2009-009921-28,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2009-010186-23,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2009-010730-21,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2009-011039-11,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2009-011165-85,JS,0,0,0,0,2,0,0,1,1,1,1,1,1,1
2009-013469-25,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2009-014441-93,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2009-017438-32,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2009-017479-29,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-018283-16,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2010-018686-36,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-018776-24,JS,1,1,1,1,1,1,1,0,0,2,2,2,2,2
2010-019109-40,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-021850-20,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-022058-18,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2010-022455-31,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-022699-30,JS,0,0,1,1,1,0,0,1,1,0,0,1,1,1
2010-023023-19,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-024046-29,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2010-024665-52,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2011-000133-37,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2011-000291-34,JS,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2011-000536-28,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2011-001965-42,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2011-002453-65,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2011-002865-39,JS,1,1,1,1,1,0,0,1,1,0,0,0,1,0
2011-004498-96,JS,1,1,0,0,2,0,0,1,1,1,1,1,1,1
2011-004584-67,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2011-005017-37,JS,0,0,1,1,1,0,0,1,1,1,0,1,1,1
2011-006174-47,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2011-006294-26,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2012-000057-31,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2012-000347-28,JS,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2012-001125-27,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2012-001142-18,JS,0,0,0,0,2,0,0,1,0,0,0,1,2,2
2012-001711-23,JS,1,1,1,1,1,0,0,1,1,0,0,1,1,1
2012-001809-24,JS,0,0,0,0,2,0,0,1,0,0,0,0,2,2
2012-002255-42,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2012-002669-37,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2012-003487-48,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2012-004300-35,JS,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2012-004442-15,JS,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2012-005842-39,JS,0,0,1,1,1,0,0,1,1,1,1,1,1,0
2013-000823-15,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2013-001141-14,JS,0,0,1,1,1,0,0,1,1,1,0,1,1,1
2013-001766-42,JS,,,,,,,,,,,,,,
2013-002451-15,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2013-003328-35,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2013-004544-32,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2013-005628-41,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2014-001081-99,JS,,,,,,,,,,,,,,
2014-004162-17,JS,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2014-004194-16,JS,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2014-004335-39,JS,1,1,1,1,1,0,0,1,1,1,1,0,0,1
2015-002898-37,JS,1,1,1,1,1,0,0,1,1,1,1,0,1,0
2015-003260-37,JS,,,,,,,,,,,,,,
2015-004026-34,JS,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2015-005190-21,JS,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2016-000205-36,JS,,,,,,,,,,,,,,
2016-004944-12,JS,1,1,1,1,1,0,0,1,1,1,1,0,0,1
2004-000368-28,HD,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2004-000414-39,HD,1,1,0,0,2,0,0,1,0,0,0,0,2,2
2004-001376-39,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2004-002241-12,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2005-000346-36,HD,0,0,1,1,1,0,0,1,1,1,0,1,1,1
2005-001578-28,HD,1,1,1,1,1,0,0,1,1,0,0,1,1,1
2005-003783-27,HD,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2006-004610-41,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2006-005263-26,HD,1,1,1,1,1,0,0,1,0,0,0,0,2,2
2006-005565-18,HD,1,1,0,0,2,0,0,1,1,1,1,1,0,0
2006-005579-16,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2007-000212-89,HD,0,0,1,0,0,0,0,1,0,0,0,1,2,2
2007-002171-13,HD,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2007-005702-49,HD,0,0,1,0,0,0,0,1,0,0,0,1,2,2
2008-003592-48,HD,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2008-006794-32,HD,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2009-016360-37,HD,1,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-018448-15,HD,0,0,1,1,1,0,0,1,1,1,1,1,1,0
2010-021150-19,HD,0,0,0,0,2,0,0,1,1,1,1,1,0,0
2010-023198-21,HD,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2011-000125-76,HD,0,0,0,0,2,0,0,1,1,1,1,1,1,1
2011-001725-24,HD,1,1,1,1,1,0,0,1,1,1,1,0,0,1
2011-002472-16,HD,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2011-003832-30,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2011-004355-40,HD,1,1,1,1,1,1,1,0,0,2,2,2,2,2
2011-004559-38,HD,1,1,0,0,2,1,1,1,0,0,0,0,2,2
2011-005366-38,HD,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2011-005666-37,HD,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2011-006179-20,HD,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2012-000363-24,HD,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2012-003516-31,HD,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2013-001557-27,HD,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2013-002154-67,HD,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2013-002165-19,HD,0,0,1,0,0,0,0,1,0,0,0,1,2,2
2013-002997-33,HD,1,1,1,0,0,0,0,0,0,2,2,2,2,2
2013-003363-64,HD,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-000042-30,HD,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2014-002841-23,HD,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2014-003135-19,HD,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2015-003537-99,HD,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2015-004768-12,HD,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2016-000867-18,HD,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2004-000091-14,JM,1,1,0,0,2,0,0,1,1,1,1,0,0,1
2004-001119-69,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2004-001614-13,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2004-002743-27,JM,1,1,1,1,1,0,0,1,1,0,0,0,1,0
2004-004296-11,JM,0,0,1,0,0,0,0,0,0,2,2,2,2,2
2004-004748-27,JM,1,1,0,0,2,0,0,1,1,1,0,1,0,0
2004-004891-36,JM,1,1,0,0,2,0,0,1,0,0,0,0,2,2
2005-000915-80,JM,1,1,1,1,1,0,0,1,1,1,0,1,0,0
2005-001202-60,JM,,,,,,,,,,,,,,
2005-002208-40,JM,0,0,0,0,2,0,0,1,0,0,0,0,2,2
2005-003482-17,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2005-004685-17,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2005-004724-39,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2005-004736-51,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2005-004941-33,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2005-005443-26,JM,0,0,1,1,1,0,0,1,0,0,0,0,2,2
2005-005658-37,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2005-005719-83,JM,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2005-005827-32,JM,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2006-000585-36,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2006-000666-37,JM,0,0,1,1,1,0,0,1,0,0,0,2,2,2
2006-001414-33,JM,1,1,0,0,2,1,1,1,1,1,0,1,1,1
2006-001951-36,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2006-002022-29,JM,0,0,1,1,1,0,0,1,1,1,1,1,0,0
2006-003191-35,JM,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2006-003995-36,JM,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2006-005034-20,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2006-005380-25,JM,0,0,1,0,0,0,0,1,0,0,0,1,2,2
2007-000800-34,JM,1,1,1,1,1,0,0,1,1,0,0,1,1,1
2007-000974-22,JM,0,0,1,1,1,0,0,1,0,0,0,0,2,2
2007-001005-16,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2007-002627-32,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2007-003702-95,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2007-003885-16,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2007-004483-41,JM,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2007-004612-31,JM,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2007-004805-80,JM,1,1,1,1,1,0,0,1,0,0,0,0,2,2
2007-005232-81,JM,0,0,0,0,2,0,0,1,0,0,0,0,2,2
2007-005242-21,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2007-005979-34,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2007-007072-42,JM,0,0,0,0,2,0,0,1,0,0,0,0,2,2
2008-001889-81,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2008-001892-31,JM,0,0,0,0,2,0,0,1,1,1,1,1,1,1
2008-003829-16,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2008-004429-41,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2008-005025-11,JM,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2008-005325-10,JM,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2008-005549-46,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2008-006135-12,JM,1,1,0,0,2,1,0,1,1,1,1,1,0,0
2008-007712-14,JM,0,0,0,0,2,0,0,0,1,0,0,2,0,2
2008-008604-40,JM,1,1,0,0,2,0,0,1,1,1,1,1,1,1
2009-009858-24,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2009-010112-15,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2009-011276-29,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2009-012543-42,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2009-012658-19,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2009-016987-34,JM,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2009-017261-32,JM,0,0,0,0,2,0,0,1,0,0,0,1,2,2
2009-017842-30,JM,0,0,0,0,2,1,0,1,0,0,0,1,2,2
2009-017918-69,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2009-018245-21,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-018379-70,JM,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2010-018532-40,JM,1,1,1,1,0,0,0,1,0,0,0,1,2,2
2010-019094-15,JM,1,1,1,1,0,0,0,0,0,2,2,2,2,2
2010-020521-40,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-022184-35,JM,1,1,0,0,2,1,1,1,1,1,0,1,1,1
2010-022772-31,JM,1,1,1,1,1,0,0,1,1,1,1,1,0,0
2010-022980-37,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2010-023481-41,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2010-023613-61,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2010-024108-84,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2011-000721-77,JM,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2011-001616-57,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2011-001756-12,JM,0,0,0,0,2,0,0,1,1,0,0,1,1,1
2011-002329-23,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2011-003317-41,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2011-003325-10,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2011-003560-74,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2011-005061-20,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2011-005683-21,JM,0,0,0,0,2,1,0,1,0,0,0,1,2,2
2011-006119-70,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2012-000869-21,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2012-001515-22,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2012-001709-26,JM,0,0,0,0,2,0,0,0,0,2,2,2,2,2
2012-002105-22,JM,0,0,1,1,1,0,0,0,1,0,0,2,1,2
2012-002573-62,JM,,,,,,,,,,,,,,
2012-004987-23,JM,1,1,1,1,1,0,0,1,1,0,0,0,0,2
2012-004993-25,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2013-000583-29,JM,0,0,1,1,1,0,0,1,1,1,1,1,1,1
2013-001868-40,JM,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-003000-39,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2013-003561-34,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2013-004593-95,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2013-005161-40,JM,1,1,1,1,1,0,0,1,1,1,0,1,1,1
2014-001295-65,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2014-001644-38,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2014-001706-17,JM,1,1,0,0,2,0,0,1,0,0,0,0,2,2
2014-001786-26,JM,1,1,1,0,0,0,0,1,0,0,0,0,2,2
2014-002003-25,JM,,,,,,,,,,,,,,
2014-003401-15,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2014-004454-34,JM,1,1,1,1,1,0,0,1,0,0,0,1,2,2
2014-004655-31,JM,1,1,0,0,2,0,0,0,0,2,2,2,2,2
2015-001956-31,JM,1,1,0,0,2,0,0,1,1,1,0,1,1,1
2015-002191-25,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2015-002396-18,JM,0,0,1,1,1,0,0,0,0,2,2,2,2,2
2015-003397-33,JM,0,0,1,1,1,0,0,1,0,0,0,1,2,2
2015-003639-37,JM,1,1,1,1,1,0,0,0,0,2,2,2,2,2
2016-002513-22,JM,1,1,1,1,1,0,0,1,1,1,1,1,1,1
